File,SP,CS,Date
BBS20014,379330,3,04/07/2016 0:00:00
BBS20015,49080,0,04/07/2016 0:00:00
BBS20016,36226,1,04/07/2016 0:00:00
BBS20017,1229385,17,04/07/2016 0:00:00
BBS20018,656727,6,04/07/2016 0:00:00
BBS20019,72797,6,04/07/2016 0:00:00
BBS20020,33156,9,04/07/2016 0:00:00
BBS20021,784002,7,04/07/2016 0:00:00
BBS20022,62094,2,04/07/2016 0:00:00
BBS20023,21241,2,04/07/2016 0:00:00
BBS20024,69417,0,04/07/2016 0:00:00
BBS20025,1234294,5,04/07/2016 0:00:00
BBS20026,55509,7,04/07/2016 0:00:00
BBS20027,62232,13,04/07/2016 0:00:00
BBS20028,707035,11,04/07/2016 0:00:00
BBS20029,24434,0,04/07/2016 0:00:00
BBS20030,264431,0,04/07/2016 0:00:00
BBS20031,55,2,04/07/2016 0:00:00
BBS20032,295855,1,04/07/2016 0:00:00
BBS20033,218917,4,04/07/2016 0:00:00
BBS20034,-269199,0,04/07/2016 0:00:00
BBS20035,122142,2,04/07/2016 0:00:00
BBS20036,431754,1,04/07/2016 0:00:00
BBS20037,-147250,4,04/07/2016 0:00:00
BBS20038,135020,3,04/07/2016 0:00:00
BBS20039,2244273,1,04/07/2016 0:00:00
BBS20040,1593787,9,04/07/2016 0:00:00
BBS20041,432596,15,04/07/2016 0:00:00
BBS30001,931727,3,04/07/2016 0:00:00
BBS30002,35066,4,04/07/2016 0:00:00
BBS30003,-5436257,1,04/07/2016 0:00:00
BBS30004,309226,10,04/07/2016 0:00:00
BBS30005,758127,3,04/07/2016 0:00:00
BBS30006,-4577,2,04/07/2016 0:00:00
BBS30007,26904,5,04/07/2016 0:00:00
BBS30008,228843,12,04/07/2016 0:00:00
BBS30009,37161,0,04/07/2016 0:00:00
BBS30010,1143073,9,04/07/2016 0:00:00
BBS30011,712036,6,04/07/2016 0:00:00
BBS30012,162313,5,04/07/2016 0:00:00
BBS30013,-316113,9,04/07/2016 0:00:00
BBS30014,52616,2,04/07/2016 0:00:00
BBS30015,18889,3,04/07/2016 0:00:00
BBS30016,35616,0,04/07/2016 0:00:00
BBS30017,7876,1,04/07/2016 0:00:00
BBS30018,1326986,8,04/07/2016 0:00:00
BBS30019,75513,6,04/07/2016 0:00:00
BBS30020,45398,0,04/07/2016 0:00:00
BBS30021,-913491,2,04/07/2016 0:00:00
BBS30022,246739,3,04/07/2016 0:00:00
BBS30023,-596741,0,04/07/2016 0:00:00
BBS30024,-185464,2,04/07/2016 0:00:00
BBS30025,15559,1,04/07/2016 0:00:00
BBS30026,-230449,4,04/07/2016 0:00:00
BBS30027,7431,3,04/07/2016 0:00:00
BBS30028,1657510,1,04/07/2016 0:00:00
BBS30029,270105,10,04/07/2016 0:00:00
BBS30030,107366,10,04/07/2016 0:00:00
BBS50001,-82351,3,04/07/2016 0:00:00
BBS50002,-65583,1,04/07/2016 0:00:00
BBS50003,-911981,10,04/07/2016 0:00:00
BBS50005,61450,79,04/07/2016 0:00:00
BBS50006,-2592489,3,04/07/2016 0:00:00
BBS50007,-77933,2,04/07/2016 0:00:00
BBS50008,-4438,14,04/07/2016 0:00:00
BBS50009,-99409,3,04/07/2016 0:00:00
BBS50010,-18360,4,04/07/2016 0:00:00
BBS50011,-1070437,5,04/07/2016 0:00:00
BBS50012,-1784125,7,04/07/2016 0:00:00
BBS50013,51191,16,04/07/2016 0:00:00
BBS50014,-32630,20,04/07/2016 0:00:00
BBS50015,-273016,3,04/07/2016 0:00:00
BBS50016,-116386,11,04/07/2016 0:00:00
